ds,statefips,y,yhat,yhat_upper,yhat_lower
2020-07-08,28,0.0803,0.05029928,0.12782216,-0.033577837
2020-07-09,28,0.0541,0.05172796,0.13088556,-0.021704603
2020-07-10,28,0.0955,0.051892802,0.13171409,-0.027830552
2020-07-11,28,0.0749,0.053511754,0.12674809,-0.022553694
2020-07-12,28,0.0745,0.055289496,0.12637049,-0.022236284
2020-07-13,28,0.0549,0.05435371,0.13482976,-0.0232333
2020-07-14,28,0.05,0.055838928,0.13067284,-0.022131767
2020-07-15,28,0.0273,0.055650752,0.13096887,-0.024443425
2020-07-16,28,0.0275,0.057079438,0.1329571,-0.020628702
2020-07-17,28,0.0223,0.057244275,0.13233387,-0.023593536
2020-07-18,28,0.0365,0.05886323,0.13756894,-0.018805912
2020-07-19,28,0.0365,0.060640972,0.13165163,-0.018394096
2020-07-20,28,0.024,0.059705187,0.13680376,-0.015249847
2020-07-21,28,0.0231,0.061190404,0.13753763,-0.015279692
2020-07-22,28,0.0482,0.06100223,0.13949716,-0.01881623
2020-07-23,28,0.0608,0.062430914,0.14009197,-0.01218464
2020-07-24,28,0.0663,0.062595755,0.13980214,-0.017541379
2020-07-25,28,0.0677,0.06421471,0.1402626,-0.015450109
2020-07-26,28,0.0727,0.065992445,0.14881745,-0.010182819
2020-07-27,28,0.0781,0.06505666,0.14129278,-0.013493374
2020-07-28,28,0.0841,0.06654188,0.14295673,-0.006602233
2020-07-29,28,0.0948,0.06635371,0.14594479,-0.013233644
2020-07-30,28,0.105,0.06778239,0.14796594,-0.009724046
2020-07-31,28,0.121,0.06794723,0.14423504,-0.011816056
2020-08-01,28,0.12,0.06956618,0.14684187,-0.007157644
2020-08-02,28,0.12,0.07134392,0.14999406,-0.0066145957
2020-08-03,28,0.138,0.070408136,0.1466588,-0.010452109
2020-08-04,28,0.151,0.07189336,0.1494791,-0.0057403194
2020-08-05,28,0.138,0.07170518,0.14712612,-0.0039776275
2020-08-06,28,0.14,0.07313386,0.14716047,-0.0047070105
2020-08-07,28,0.133,0.0732987,0.14777462,-0.002606088
2020-08-08,28,0.152,0.07491766,0.15300071,-0.0014144344
2020-08-09,28,0.152,0.0766954,0.14898978,-0.00014907427
2020-08-10,28,0.152,0.07575961,0.15333001,-0.0024598686
2020-08-11,28,0.152,0.077244826,0.15510616,0.0014677012
2020-08-12,28,0.173,0.077056654,0.15443964,-0.00096062303
2020-08-13,28,0.149,0.07848534,0.15569776,-0.0014606535
2020-08-14,28,0.145,0.07865018,0.1594228,-0.003891058
2020-08-15,28,0.119,0.08026913,0.15334745,0.003932217
2020-08-16,28,0.12,0.08204687,0.15743674,-0.0011609688
2020-08-17,28,0.0952,0.08111108,0.15623409,0.0005814102
2020-08-18,28,0.0783,0.0825963,0.15308258,0.0013644586
2020-08-19,28,0.0579,0.08240812,0.1628066,0.008575311
2020-08-20,28,0.064,0.08383681,0.16000919,0.0011777824
2020-08-21,28,0.0665,0.084001645,0.16071407,0.005984754
2020-08-22,28,0.0859,0.0856206,0.16008648,0.0070528244
2020-08-23,28,0.0945,0.08739834,0.16202173,0.004555593
2020-08-24,28,0.12,0.08646256,0.1598252,0.010720964
2020-08-25,28,0.125,0.08794777,0.15804729,0.009819603
2020-08-26,28,0.143,0.0877596,0.16377248,0.0134272445
2020-08-27,28,0.145,0.08918828,0.16855437,0.013141963
2020-08-28,28,0.145,0.08935312,0.1666583,0.010857315
2020-08-29,28,0.149,0.09094937,0.16722475,0.01332192
2020-08-30,28,0.125,0.09270441,0.16159639,0.014889275
2020-08-31,28,0.108,0.09174592,0.16900893,0.016202092
2020-09-01,28,0.126,0.09320844,0.1744267,0.012325937
2020-09-02,28,0.168,0.09299756,0.16993465,0.017758679
2020-09-03,28,0.148,0.09440354,0.17162369,0.021300241
2020-09-04,28,0.157,0.09454568,0.16821219,0.019922767
2020-09-05,28,0.154,0.096141934,0.16817348,0.014980606
2020-09-06,28,0.18,0.09789697,0.17556155,0.018539306
2020-09-07,28,0.207,0.09693848,0.17984329,0.018053817
2020-09-08,28,0.158,0.098401,0.17864276,0.023976687
2020-09-09,28,0.136,0.09819012,0.17026426,0.017559217
2020-09-10,28,0.138,0.099596106,0.17764267,0.021016654
2020-09-11,28,0.131,0.09973824,0.17905656,0.024660978
2020-09-12,28,0.124,0.1013345,0.17644705,0.027782597
2020-09-13,28,0.103,0.103089534,0.17974877,0.026359115
2020-09-14,28,0.114,0.10213105,0.17988765,0.024228795
2020-09-15,28,0.115,0.103593566,0.18002202,0.02272631
2020-09-16,28,0.108,0.103382684,0.18447432,0.028426358
2020-09-17,28,0.0974,0.10478867,0.18477608,0.025168004
2020-09-18,28,0.103,0.1049308,0.18411508,0.024902327
2020-09-19,28,0.114,0.10652706,0.18181698,0.03262291
2020-09-20,28,0.124,0.1082821,0.18964632,0.023372082
2020-09-21,28,0.126,0.10727413,0.18511036,0.028734813
2020-09-22,28,0.133,0.10868717,0.1881001,0.03482546
2020-09-23,28,0.14,0.10842682,0.18468381,0.026869845
2020-09-24,28,0.143,0.10978333,0.18953039,0.029585255
2020-09-25,28,0.125,0.109875984,0.19323301,0.037290554
2020-09-26,28,0.118,0.11142276,0.18829094,0.0322802
2020-09-27,28,0.119,0.11312832,0.19505045,0.035840206
2020-09-28,28,0.103,0.11212036,0.1860762,0.03238128
2020-09-29,28,0.0965,0.1135334,0.19370353,0.03799002
2020-09-30,28,0.0989,0.11327305,0.19194445,0.03780683
2020-10-01,28,0.0939,0.11462955,0.1895464,0.036049146
2020-10-02,28,0.105,0.114722215,0.1893204,0.045395363
2020-10-03,28,0.102,0.116268985,0.19594066,0.0340774
2020-10-04,28,0.139,0.11797455,0.1980063,0.04561289
2020-10-05,28,0.173,0.11696659,0.1944048,0.038608965
2020-10-06,28,0.182,0.11837962,0.20591168,0.043981496
2020-10-07,28,0.175,0.11811928,0.19467394,0.04462042
2020-10-08,28,0.187,0.11947578,0.1921502,0.040664513
2020-10-09,28,0.178,0.11956844,0.19839175,0.046745438
2020-10-10,28,0.173,0.121115215,0.20210817,0.043246966
2020-10-11,28,0.133,0.12282078,0.19909438,0.04049676
2020-10-12,28,0.124,0.12181281,0.20434651,0.0456227
2020-10-13,28,0.112,0.12322585,0.20143959,0.04478834
2020-10-14,28,0.142,0.12292071,0.1979143,0.042619165
2020-10-15,28,0.123,0.12423243,0.19942549,0.043923125
2020-10-16,28,0.136,0.124280296,0.20068353,0.047089364
2020-10-17,28,0.135,0.12578228,0.20604089,0.047228184
2020-10-18,28,0.128,0.12744306,0.20429909,0.058355596
2020-10-19,28,0.117,0.1263903,0.20143487,0.048246417
2020-10-20,28,0.108,0.12775855,0.20587197,0.046646856
2020-10-21,28,0.105,0.1274534,0.20382257,0.051374134
2020-10-22,28,0.0979,0.12876512,0.2056337,0.05486649
2020-10-23,28,0.0794,0.128813,0.21067657,0.051262934
2020-10-24,28,0.102,0.13031498,0.20930623,0.058261234
2020-10-25,28,0.125,0.13197576,0.21218331,0.05254069
2020-10-26,28,0.145,0.130923,0.20549013,0.057819832
2020-10-27,28,0.165,0.13229124,0.21179375,0.04798282
2020-10-28,28,0.144,0.1319861,0.20483108,0.052395005
2020-10-29,28,0.13,0.13329782,0.21141304,0.05855501
2020-10-30,28,0.166,0.1333457,0.2115708,0.058742274
2020-10-31,28,0.146,0.13484767,0.21143538,0.052252237
2020-11-01,28,0.105,0.13650845,0.20702456,0.059826214
2020-11-02,28,0.0848,0.1354557,0.20957528,0.05797144
2020-11-03,28,0.0723,0.13682394,0.21457012,0.060195126
2020-11-04,28,0.0964,0.13651879,0.22597334,0.06125369
2020-11-05,28,0.132,0.13780655,0.21566701,0.06090004
2020-11-06,28,0.121,0.13783044,0.21361466,0.06576523
2020-11-07,28,0.139,0.13930845,0.2173252,0.06585391
2020-11-08,28,0.157,0.14094526,0.22051609,0.06859945
2020-11-09,28,0.161,0.13986853,0.21847703,0.05643578
2020-11-10,28,0.159,0.1412128,0.22029008,0.05884814
2020-11-11,28,0.169,0.1408837,0.21679863,0.05632541
2020-11-12,28,0.149,0.14217144,0.21950708,0.06703899
2020-11-13,28,0.16,0.14219534,0.2155625,0.07007431
2020-11-14,28,0.165,0.14367335,0.21745758,0.06758892
2020-11-15,28,0.173,0.14531015,0.22359382,0.06828201
2020-11-16,28,0.174,0.14423342,0.22532666,0.066886365
2020-11-17,28,0.178,0.1455777,0.22224443,0.067796476
2020-11-18,28,0.169,0.14524859,0.22400609,0.06606858
2020-11-19,28,0.179,0.14653634,0.22812785,0.060465474
2020-11-20,28,0.176,0.14656024,0.22280294,0.0669633
2020-11-21,28,0.178,0.14803825,0.22491978,0.07024406
2020-11-22,28,0.188,0.14967504,0.22745457,0.07435466
2020-11-23,28,0.2,0.14859833,0.22834311,0.07094471
2020-11-24,28,0.212,0.1499426,0.22935906,0.06992149
2020-11-25,28,0.134,0.14961348,0.23531075,0.065140985
2020-11-26,28,0.0967,0.15090123,0.22883694,0.07367929
2020-11-27,28,0.116,0.15092513,0.2309269,0.07500764
2020-11-28,28,0.201,0.15240315,0.23120221,0.076674454
2020-11-29,28,0.103,0.15403995,0.2333078,0.08576226
2020-11-30,28,0.0558,0.15296322,0.23522592,0.07579424
2020-12-01,28,0.115,0.1543075,0.22981706,0.07513185
2020-12-02,28,0.111,0.15397838,0.23353389,0.07524296
2020-12-03,28,0.121,0.15526612,0.23473206,0.07869884
2020-12-04,28,0.101,0.15529002,0.23334727,0.07819474
2020-12-05,28,0.116,0.15676804,0.23064552,0.08893138
2020-12-06,28,0.137,0.15840484,0.23436403,0.0803834
2020-12-07,28,0.146,0.15732811,0.23709983,0.07989989
2020-12-08,28,0.125,0.15867239,0.23212159,0.08628844
2020-12-09,28,0.113,0.15834327,0.23133782,0.07932321
2020-12-10,28,0.134,0.15963101,0.24313459,0.079343356
2020-12-11,28,0.13,0.15965492,0.23846698,0.08255477
